Sample,pop1,pop2,pop3,pop4,assignment
striata_CAS198976,0.999970,0.000010,0.000010,0.000010,pop1
striata_CAS198977,0.999970,0.000010,0.000010,0.000010,pop1
striata_CAS198979,0.999970,0.000010,0.000010,0.000010,pop1
striata_EBG1407,0.999970,0.000010,0.000010,0.000010,pop1
striata_EBG2295,0.999970,0.000010,0.000010,0.000010,pop1
striata_EBG2406,0.999970,0.000010,0.000010,0.000010,pop1
striata_ELI1025,0.999970,0.000010,0.000010,0.000010,pop1
striata_ELI1249,0.999970,0.000010,0.000010,0.000010,pop1
striata_ELI958,0.999970,0.000010,0.000010,0.000010,pop1
striata_MAB191,0.999970,0.000010,0.000010,0.000010,pop1
striata_TJC243,0.999970,0.000010,0.000010,0.000010,pop1
striata_TJC298,0.999970,0.000010,0.000010,0.000010,pop1
striata_ELI954,0.999969,0.000011,0.000010,0.000010,pop1
wahlbergii_MCZF38510,0.000010,0.999970,0.000010,0.000010,pop2
sparsa_MCZA27033,0.000010,0.999970,0.000010,0.000010,pop2
wahlbergii_AMB8725,0.000010,0.999970,0.000010,0.000010,pop2
wahlbergii_AMB8724,0.000010,0.999970,0.000010,0.000010,pop2
wahlbergii_AMB7966,0.000010,0.999970,0.000010,0.000010,pop2
wahlbergii_AMB7965,0.000010,0.999970,0.000010,0.000010,pop2
wahlbergii_AMB7964,0.000010,0.999970,0.000010,0.000010,pop2
wahlbergii_AMB7961,0.000010,0.999970,0.000010,0.000010,pop2
striata_MCZA27146,0.000010,0.999970,0.000010,0.000010,pop2
striata_MCZA27145,0.000010,0.999970,0.000010,0.000010,pop2
wahlbergii_AMB8898,0.000010,0.999970,0.000010,0.000010,pop2
wahlbergii_ANG384,0.000010,0.999970,0.000010,0.000010,pop2
striata_MBUR00374,0.000010,0.999970,0.000010,0.000010,pop2
sparsa_MCZA27048,0.000010,0.999970,0.000010,0.000010,pop2
sparsa_MCZA27032,0.000010,0.999970,0.000010,0.000010,pop2
wahlbergii_AMB8790,0.000010,0.999970,0.000010,0.000010,pop2
punctatissima_QQ0807,0.000010,0.999970,0.000010,0.000010,pop2
punctatissima_NMBR8698,0.000010,0.999970,0.000010,0.000010,pop2
punctatissima_MCZA27823,0.000010,0.999970,0.000010,0.000010,pop2
punctatissima_MBUR0410,0.000010,0.999970,0.000010,0.000010,pop2
punctatissima_MBUR0374,0.000010,0.999970,0.000010,0.000010,pop2
punctatissima_MBUR0189,0.000010,0.999970,0.000010,0.000010,pop2
punctatissima_MBUR01587,0.000010,0.999970,0.000010,0.000010,pop2
punctatissima_MBUR00181,0.000010,0.999970,0.000010,0.000010,pop2
wahlbergii_ANG395,0.000010,0.999970,0.000010,0.000010,pop2
punctatissima_MB21388,0.000010,0.999970,0.000010,0.000010,pop2
punctatissima_MAB180,0.000010,0.999970,0.000010,0.000010,pop2
wahlbergii_AMB8789,0.000010,0.999970,0.000010,0.000010,pop2
punctatissima_MBUR01588,0.096423,0.903557,0.000010,0.000010,pop2
